% # iter+eval+sigma+axisratio+fbestever+fitness+fmedian+fworst+mindii+idxmaxSD+maxSD+idxminSD+minSD (randomSeed=1653795566, Mon Aug 27 08:38:42 2018)
1	8	2.7447e-01	1.00e+00	1.155923364749044e+04	1.155923364749044e+04	4.124401068553013e+04	7.636388496220637e+04	1.0000e+00	1	1.0336e+00	2	9.7745e-01
2	16	2.5876e-01	1.11e+00	1.155923364749044e+04	1.756856338081248e+04	2.711221614754287e+04	3.775870363306373e+04	9.6144e-01	1	1.0284e+00	3	9.5229e-01
3	24	2.5514e-01	1.19e+00	8.555815883933228e+03	8.555815883933228e+03	1.789434860031591e+04	3.332236419323011e+04	9.3261e-01	5	1.0121e+00	3	9.2388e-01
4	32	2.5991e-01	1.21e+00	2.521093439362990e+03	2.521093439362990e+03	1.270739651789912e+04	3.756911289074667e+04	9.0158e-01	2	1.0068e+00	3	9.2063e-01
5	40	2.9313e-01	1.23e+00	2.521093439362990e+03	4.159285012152097e+03	1.317206277413493e+04	2.588330411275390e+04	8.7435e-01	2	1.0358e+00	4	9.3048e-01
6	48	3.2223e-01	1.38e+00	2.521093439362990e+03	3.475091569178725e+03	8.061478008765953e+03	2.462985142546924e+04	8.5860e-01	3	1.0120e+00	4	9.1662e-01
7	56	3.0544e-01	1.49e+00	2.521093439362990e+03	5.764450979127470e+03	1.189702267996298e+04	2.633850705351147e+04	8.2898e-01	3	9.8375e-01	4	8.8853e-01
8	64	2.9208e-01	1.51e+00	2.521093439362990e+03	4.367144815723272e+03	1.190189974207560e+04	3.027410180011351e+04	8.1052e-01	1	1.0025e+00	4	8.7713e-01
9	72	2.8529e-01	1.58e+00	2.521093439362990e+03	3.440417566685469e+03	1.253076569718594e+04	2.096271108703459e+04	7.8488e-01	1	1.0081e+00	4	8.8623e-01
10	80	2.5494e-01	1.67e+00	2.521093439362990e+03	4.239282870151713e+03	1.134241559104468e+04	2.771690436196212e+04	7.6146e-01	1	9.9732e-01	4	8.9000e-01
11	88	2.6755e-01	1.63e+00	2.521093439362990e+03	3.722988752438328e+03	7.936832796740020e+03	2.397262400058659e+04	7.5877e-01	1	1.0942e+00	5	8.6782e-01
12	96	2.3735e-01	1.85e+00	2.521093439362990e+03	2.660723962708936e+03	8.285057137934962e+03	1.735916059483408e+04	7.3772e-01	1	1.0992e+00	5	8.3825e-01
13	104	2.2436e-01	1.89e+00	2.521093439362990e+03	4.206012011742348e+03	6.496888142930452e+03	2.354162437368727e+04	7.1536e-01	1	1.0868e+00	5	8.1771e-01
14	112	2.0344e-01	1.84e+00	2.521093439362990e+03	3.163528146297206e+03	7.892779794113441e+03	1.244101256377842e+04	7.1990e-01	1	1.1049e+00	5	7.9650e-01
15	120	1.9772e-01	1.95e+00	2.521093439362990e+03	4.174866950800299e+03	7.398382866069824e+03	9.765814520962333e+03	7.0115e-01	1	1.1528e+00	5	7.7357e-01
16	128	1.8840e-01	2.00e+00	1.524505019633156e+03	1.524505019633156e+03	5.030981182290435e+03	1.021732599068070e+04	6.9218e-01	1	1.2320e+00	5	7.4766e-01
17	136	1.7802e-01	2.04e+00	1.524505019633156e+03	1.809297255149137e+03	4.656034892973221e+03	9.990091039670748e+03	6.8955e-01	1	1.2514e+00	5	7.2121e-01
18	144	1.5908e-01	2.14e+00	1.524505019633156e+03	2.235313929504890e+03	6.349897997784722e+03	8.668518116907422e+03	6.7635e-01	1	1.2364e+00	5	7.0014e-01
19	152	1.5053e-01	2.16e+00	1.524505019633156e+03	2.489297788061816e+03	4.639492990808917e+03	1.029859281343248e+04	6.6045e-01	1	1.2536e+00	5	7.0012e-01
