% # iter+eval+sigma+0+fitness+xbest (randomSeed=1653795566, Mon Aug 27 08:38:42 2018)
0	0	3.0000e-01	0	0.000000000000000e+00	0	0	0	0	0
1	8	2.7447e-01	0	1.155923364749044e+04	1.04172	0.591667	0.379073	0.735268	0.906789
2	16	2.5876e-01	0	1.756856338081248e+04	0.679538	0.243321	0.327783	0.586567	0.549141
3	24	2.5514e-01	0	8.555815883933228e+03	0.62111	0.258361	0.316717	0.750915	0.833348
4	32	2.5991e-01	0	2.521093439362990e+03	0.792033	0.0405946	0.257363	0.886811	0.938818
5	40	2.9313e-01	0	4.159285012152097e+03	1.04172	-0.226734	-0.204648	0.854619	1.15745
6	48	3.2223e-01	0	3.475091569178725e+03	1.28657	0.0886299	-0.42526	1.01036	1.10986
7	56	3.0544e-01	0	5.764450979127470e+03	1.18378	0.0395602	-0.20426	1.01206	0.961187
8	64	2.9208e-01	0	4.367144815723272e+03	1.45584	0.0820155	-0.201234	1.03177	0.984665
9	72	2.8529e-01	0	3.440417566685469e+03	1.47459	0.0656442	-0.268705	1.05067	1.18972
10	80	2.5494e-01	0	4.239282870151713e+03	1.41548	-0.311034	-0.460252	0.800597	0.952349
11	88	2.6755e-01	0	3.722988752438328e+03	0.733567	-0.00643637	0.0138631	0.885457	0.980565
12	96	2.3735e-01	0	2.660723962708936e+03	1.38326	-0.0468442	-0.227352	1.00483	1.14424
13	104	2.2436e-01	0	4.206012011742348e+03	0.932081	0.187191	0.19439	1.31003	0.963007
14	112	2.0344e-01	0	3.163528146297206e+03	1.46854	-0.215414	-0.253335	1.30083	1.22496
15	120	1.9772e-01	0	4.174866950800299e+03	0.707428	0.0535732	0.0831556	1.09136	1.16847
16	128	1.8840e-01	0	1.524505019633156e+03	1.45289	-0.106592	-0.206184	0.848963	1.13871
17	136	1.7802e-01	0	1.809297255149137e+03	0.749386	-0.0917144	0.31039	0.976629	1.13055
18	144	1.5908e-01	0	2.235313929504890e+03	0.730883	-0.0763123	0.278346	1.13324	1.06196
19	152	1.5053e-01	0	2.489297788061816e+03	0.721786	-0.173316	0.183371	0.962283	1.05772
20	160	1.3688e-01	0	2.156168792122188e+03	0.699736	-0.0723966	0.20832	1.02166	1.09024
21	168	1.4623e-01	0	2.075768587968130e+03	0.62492	-0.00726448	0.286625	0.665137	1.01331
